id,freq,grammar,sv,grammar2,fa,wclass,ex
2798,2698,att,reducera,,,verb,
2799,2698,,vanligt,,,adverb,
2800,2694,ett,skadestånd,,,noun-ett,
2801,2693,att,kopiera,,,verb,
2802,2691,en,övergång,,,noun-en,
2803,2690,,anhörig,,,adjective,
2804,2690,,ångest,,,noun-en,
2805,2689,en,vakt,,,noun-en,
2806,2688,att,förhandla,,,verb,
2807,2688,att,koncentrera,,,verb,e.g. koncentrera sig
2808,2687,en,tabell,,,noun-en,
