id,freq,grammar,sv,grammar2,fa,wclass,ex
1752,5382,en,fart,,,noun-en,
1753,5381,en,tant,,,noun-en,
1754,,,berörd,,,adjective,
1755,5372,en,avsikt,,,noun-en,
1756,5372,,frisk,,,adjective,
1757,5371,,opposition,,,noun-en,
1758,5370,,härlig,,,adjective,
1759,5358,ett,intryck,,,noun-ett,
1760,5351,en,visa,,,noun-en,
1761,5343,,duktig,,,adjective,
1762,5339,en,ideologi,,,noun-en,
1763,5332,en,representant,,,noun-en,
1764,5329,ett,tack,,,noun-ett,
1765,5323,ett,engagemang,,,noun-ett,
1766,5319,,finsk,,,adjective,
1767,5313,,bekant,,,adjective,
1768,5309,,överallt,,,adverb,
1769,5308,ett,gäng,,,noun-ett,
1770,5308,att,träda,,,verb,e.g. träda fram/in
1771,5307,att,sjunka,,,verb,
1772,5306,ett,föremål,,,noun-ett,
1773,5302,,vad,,,adverb,
1774,5300,en,attack,,,noun-en,
1775,5300,,falsk,,,adjective,
1776,5297,att,representera,,,verb,
1777,5291,ett,miljöparti,,,noun-ett,e.g. Miljöpartiet
1778,5287,en,avgift,,,noun-en,
1779,5285,,normalt,,,adverb,
1780,5273,att,motsvara,,,verb,
1781,5267,,i allmänhet,,,adverb,
1782,5267,en,översättning,,,noun-en,
1783,5262,,seriös,,,adjective,
1784,5261,,omedelbart,,,adverb,
1785,5259,,kraftig,,,adjective,
1786,5255,att,uppskatta,,,verb,
1787,5244,en,kommitté,,,noun-en,
1788,5242,att,blanda,,,verb,"e.g. blanda in, blanda sig"
1789,5242,,blod,,,noun-ett,
1790,5242,en,högskola,,,noun-en,
1791,5233,,fritt,,,adverb,
1792,5233,,integritet,,,noun-en,
1793,5228,,hår,,,noun-ett,
1794,5220,ett,organ,,,noun-ett,
1795,5218,,lycklig,,,adjective,
1796,5215,ett,misstag,,,noun-ett,
1797,5209,,kvar,,,adverb,
1798,5208,ett,träd,,,noun-ett,
1799,5206,ett,tak,,,noun-ett,
1800,5205,ett,straff,,,noun-ett,
1801,5204,,perfekt,,,adjective,
1802,5200,en,överenskommelse,,,noun-en,
1803,5197,en,kampanj,,,noun-en,
1804,5196,en,grej,,,noun-en,(vardagligt)
1805,5195,att,åstadkomma,,,verb,
1806,5194,en,budget,,,noun-en,
1807,5193,en,rygg,,,noun-en,
1808,5187,,gott,,,adverb,
1809,5181,en,press,,,noun-en,
1810,5178,,digital,,,adjective,
1811,5176,att,framstå,,,verb,
1812,5176,ett,verktyg,,,noun-ett,
1813,5175,,beroende på,,,prep,
1814,5162,ett,betyg,,,noun-ett,
1815,5160,,detsamma,,,pronoun,
1816,5149,en,start,,,noun-en,
1817,5146,att,leverera,,,verb,
1818,5145,,kompetens,,,noun-en,
1819,5139,,var och en,,,pronoun,
1820,5125,,långsiktig,,,adjective,
1821,5124,en,vinter,,,noun-en,
1822,5123,att,gripa,,,verb,
1823,5108,en,skyldighet,,,noun-en,
1824,5105,,evig,,,adjective,
1825,5099,en,företrädare,,,noun-en,
1826,5083,,etnisk,,,adjective,
1827,5074,,med andra ord,,,adverb,
